filename,type,size,m,comparisons
./data/exp/dataset1500_1.txt,efficient,1500,20,450939
./data/exp/dataset1500_2.txt,brute-force,1500,5,3373328
./data/exp/dataset1500_2.txt,efficient,1500,5,294830
./data/exp/dataset1500_2.txt,brute-force,1500,10,3374755
./data/exp/dataset1500_2.txt,efficient,1500,10,337501
./data/exp/dataset1500_2.txt,brute-force,1500,20,3380263
./data/exp/dataset1500_2.txt,efficient,1500,20,454688
./data/exp/dataset1500_3.txt,brute-force,1500,5,3373293
./data/exp/dataset1500_3.txt,efficient,1500,5,294479
./data/exp/dataset1500_3.txt,brute-force,1500,10,3374583
./data/exp/dataset1500_3.txt,efficient,1500,10,337692
./data/exp/dataset1500_3.txt,brute-force,1500,20,3379287
./data/exp/dataset1500_3.txt,efficient,1500,20,453220
./data/exp/dataset1500_4.txt,brute-force,1500,5,3373259
./data/exp/dataset1500_4.txt,efficient,1500,5,294496
./data/exp/dataset1500_4.txt,brute-force,1500,10,3374684
./data/exp/dataset1500_4.txt,efficient,1500,10,339207
./data/exp/dataset1500_4.txt,brute-force,1500,20,3378891
./data/exp/dataset1500_4.txt,efficient,1500,20,453314
./data/exp/dataset1500_5.txt,brute-force,1500,5,3373225
./data/exp/dataset1500_5.txt,efficient,1500,5,294819
./data/exp/dataset1500_5.txt,brute-force,1500,10,3374617
./data/exp/dataset1500_5.txt,efficient,1500,10,338310
./data/exp/dataset1500_5.txt,brute-force,1500,20,3380004
./data/exp/dataset1500_5.txt,efficient,1500,20,455009
./data/exp/dataset1750_1.txt,brute-force,1750,5,4591611
./data/exp/dataset1750_1.txt,efficient,1750,5,344370
./data/exp/dataset1750_1.txt,brute-force,1750,10,4593053
./data/exp/dataset1750_1.txt,efficient,1750,10,388980
./data/exp/dataset1750_1.txt,brute-force,1750,20,4597867
./data/exp/dataset1750_1.txt,efficient,1750,20,517488
./data/exp/dataset1750_2.txt,brute-force,1750,5,4591779
./data/exp/dataset1750_2.txt,efficient,1750,5,345804
./data/exp/dataset1750_2.txt,brute-force,1750,10,4593301
./data/exp/dataset1750_2.txt,efficient,1750,10,391377
./data/exp/dataset1750_2.txt,brute-force,1750,20,4598463
./data/exp/dataset1750_2.txt,efficient,1750,20,518373
./data/exp/dataset1750_3.txt,brute-force,1750,5,4591685
./data/exp/dataset1750_3.txt,efficient,1750,5,342128
./data/exp/dataset1750_3.txt,brute-force,1750,10,4593069
./data/exp/dataset1750_3.txt,efficient,1750,10,386863
./data/exp/dataset1750_3.txt,brute-force,1750,20,4598653
./data/exp/dataset1750_3.txt,efficient,1750,20,514000
./data/exp/dataset1750_4.txt,brute-force,1750,5,4591630
./data/exp/dataset1750_4.txt,efficient,1750,5,344686
./data/exp/dataset1750_4.txt,brute-force,1750,10,4592857
./data/exp/dataset1750_4.txt,efficient,1750,10,389742
./data/exp/dataset1750_4.txt,brute-force,1750,20,4597694
./data/exp/dataset1750_4.txt,efficient,1750,20,519004
./data/exp/dataset1750_5.txt,brute-force,1750,5,4591662
./data/exp/dataset1750_5.txt,efficient,1750,5,347251
./data/exp/dataset1750_5.txt,brute-force,1750,10,4593140
./data/exp/dataset1750_5.txt,efficient,1750,10,391687
./data/exp/dataset1750_5.txt,brute-force,1750,20,4597978
./data/exp/dataset1750_5.txt,efficient,1750,20,518821
./data/exp/dataset2000_1.txt,brute-force,2000,5,5997479
./data/exp/dataset2000_1.txt,efficient,2000,5,392881
./data/exp/dataset2000_1.txt,brute-force,2000,10,5998827
./data/exp/dataset2000_1.txt,efficient,2000,10,439891
./data/exp/dataset2000_1.txt,brute-force,2000,20,6004480
./data/exp/dataset2000_1.txt,efficient,2000,20,576904
./data/exp/dataset2000_2.txt,brute-force,2000,5,5997561
./data/exp/dataset2000_2.txt,efficient,2000,5,395537
./data/exp/dataset2000_2.txt,brute-force,2000,10,5998823
./data/exp/dataset2000_2.txt,efficient,2000,10,443028
./data/exp/dataset2000_2.txt,brute-force,2000,20,6004365
./data/exp/dataset2000_2.txt,efficient,2000,20,575239
./data/exp/dataset2000_3.txt,brute-force,2000,5,5997532
./data/exp/dataset2000_3.txt,efficient,2000,5,395656
./data/exp/dataset2000_3.txt,brute-force,2000,10,5998868
./data/exp/dataset2000_3.txt,efficient,2000,10,445077
./data/exp/dataset2000_3.txt,brute-force,2000,20,6004223
./data/exp/dataset2000_3.txt,efficient,2000,20,577400
